Game Turn, From, To, Initiator, Type, SubType, Message
247, 1, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
247, 1, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
248, 1, 4, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
249, 3, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
249, 3, 0, 3, DENOUNCE, NONE, 00000000, Requesting Session (B)
249, 3, 0, 3, DENOUNCE, NONE, INITIAL, Adding to pending
249, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Statement
249, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Immediately
249, 4, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
249, 4, 0, 4, DENOUNCE, NONE, 00000000, Requesting Session (B)
249, 4, 0, 4, DENOUNCE, NONE, INITIAL, Adding to pending
249, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Statement
249, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Immediately
251, 4, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
251, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
251, 4, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
252, 1, 5, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
252, 4, 1, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
252, 4, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
252, 4, 1, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
252, 5, 0, -1, FIRST_MEET_NEAR_INITIATOR, NONE, 00000000, Requesting Session (B)
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Adding to pending
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Statement
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Immediately
252, 0, 5, 5, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Adding to pending
252, 0, 5, 5, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Broadcasting
252, 0, 5, 5, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Statement
252, 0, 5, 5, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Immediately
252, 0, 5, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Adding to pending
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Statement
252, 5, 0, 5, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Immediately
252, 0, 5, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
253, 1, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
253, 1, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
253, 1, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
254, 5, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
254, 5, 0, 5, DENOUNCE, NONE, 00000000, Requesting Session (B)
254, 5, 0, 5, DENOUNCE, NONE, INITIAL, Adding to pending
254, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Statement
254, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Immediately
256, 5, 1, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
258, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
258, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
258, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
258, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
258, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
258, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
258, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
258, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
258, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
258, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
258, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
261, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
261, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
261, 1, 5, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
261, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
261, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
261, 4, 0, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
261, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Adding to pending
261, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Statement
261, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Immediately
264, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
264, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
264, 1, 4, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
264, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
