Game Turn, From, To, Initiator, Type, SubType, Message
295, 0, 4, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, POSITIVE, Broadcasting
295, 0, 4, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, POSITIVE, Processing Statement
295, 0, 4, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, POSITIVE, Processing Immediately
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, POSITIVE, POSITIVE, Adding to pending
295, 4, 0, ?, MAKE_PROMISE, fadf5055, ?, Sending Action
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, POSITIVE, POSITIVE, Processing Statement
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, POSITIVE, POSITIVE, Processing Immediately
295, 4, 0, ?, MAKE_PROMISE, ffffffff, ?, Processing Action
296, 1, 4, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
296, 1, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
296, 1, 4, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
298, 1, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
298, 1, 5, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
298, 1, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
298, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
298, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
298, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
298, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Processing Statement
298, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Adding to pending
298, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Broadcasting
298, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
298, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
298, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
298, 3, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
298, 3, 5, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
298, 3, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
301, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
301, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
301, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
301, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
301, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
301, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Processing Statement
301, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Processing Immediately
301, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
301, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
301, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
301, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
301, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
301, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
301, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, NONE, 00000000, Processing Statement
302, 1, 0, 0, MAKE_DEAL, NONE, 00000000, Processing Immediately
302, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
302, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
302, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
302, 4, 5, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
302, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
302, 4, 5, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
303, 4, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
303, 4, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
303, 4, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
304, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
304, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
304, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
304, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
304, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
304, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
304, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
304, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
304, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
304, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
304, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
304, 3, 2, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
304, 3, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
304, 3, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
304, 3, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
306, 4, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
306, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
306, 4, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
307, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
307, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
307, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
307, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
307, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
307, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
307, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
307, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
307, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
307, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
307, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
307, 5, 4, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
308, 4, 3, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
310, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
310, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
310, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
310, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
310, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
310, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
310, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
310, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
310, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
310, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
310, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
311, 1, 3, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
311, 3, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
311, 3, 0, 3, DENOUNCE, NONE, 00000000, Requesting Session (B)
311, 3, 0, 3, DENOUNCE, NONE, INITIAL, Adding to pending
311, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Statement
311, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Immediately
311, 4, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
311, 4, 0, 4, DENOUNCE, NONE, 00000000, Requesting Session (B)
311, 4, 0, 4, DENOUNCE, NONE, INITIAL, Adding to pending
311, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Statement
311, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Immediately
311, 5, 2, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
313, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
313, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
313, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
313, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
313, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
313, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
313, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
313, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
313, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
313, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
313, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
314, 1, 5, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
314, 5, 1, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
316, 5, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
316, 5, 0, 5, DENOUNCE, NONE, 00000000, Requesting Session (B)
316, 5, 0, 5, DENOUNCE, NONE, INITIAL, Adding to pending
316, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Statement
316, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Immediately
317, 4, 0, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
317, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Adding to pending
317, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Statement
317, 4, 0, 4, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Immediately
319, 3, 2, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
319, 3, 2, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
319, 3, 2, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
322, 1, 0, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Adding to pending
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Processing Statement
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Processing Immediately
322, 0, 1, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, POSITIVE, Adding to pending
322, 0, 1, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, POSITIVE, Broadcasting
322, 0, 1, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, POSITIVE, Processing Statement
322, 0, 1, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, POSITIVE, Processing Immediately
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, POSITIVE, POSITIVE, Adding to pending
322, 1, 0, ?, MAKE_PROMISE, 46209c01, ?, Sending Action
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, POSITIVE, POSITIVE, Processing Statement
322, 1, 0, 1, WARNING_TOO_MANY_TROOPS_NEAR_ME, POSITIVE, POSITIVE, Processing Immediately
322, 1, 0, ?, MAKE_PROMISE, ffffffff, ?, Processing Action
322, 4, 1, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
322, 5, 3, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
323, 0, 1, -1, DECLARE_SURPRISE_WAR, NONE, INITIAL, Requesting Session (A)
323, 0, 1, 0, DECLARE_SURPRISE_WAR, NONE, INITIAL, Adding to pending
323, 0, 1, 0, DECLARE_SURPRISE_WAR, NONE, INITIAL, Broadcasting
323, 0, 1, 0, DECLARE_SURPRISE_WAR, NONE, INITIAL, Processing Statement
323, 0, 1, 0, DECLARE_SURPRISE_WAR, NONE, INITIAL, Processing Immediately
323, 0, 1, ?, SET_WAR_STATE, ffffffff, ?, Sending Action
323, 1, 0, 0, DECLARE_SURPRISE_WAR, NONE, 00000000, Adding to pending
323, 1, 0, 0, DECLARE_SURPRISE_WAR, NONE, 00000000, Processing Statement
323, 1, 0, 0, DECLARE_SURPRISE_WAR, NONE, 00000000, Processing Immediately
323, 0, 1, ?, SET_WAR_STATE, ffffffff, ?, Processing Action
323, 3, 0, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
323, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Adding to pending
323, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Statement
323, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Adding To Queue
323, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Queued Statement
323, 1, 3, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
323, 1, 3, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
323, 1, 3, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
324, 1, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
324, 1, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
324, 1, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
324, 1, 5, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
324, 1, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
324, 1, 5, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
324, 2, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
324, 2, 0, 2, DENOUNCE, NONE, 00000000, Requesting Session (B)
324, 2, 0, 2, DENOUNCE, NONE, INITIAL, Adding to pending
324, 2, 0, 2, DENOUNCE, NONE, INITIAL, Processing Statement
324, 2, 0, 2, DENOUNCE, NONE, INITIAL, Processing Immediately
327, 4, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
327, 4, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
327, 4, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
327, 3, 4, -1, WARNING_STOP_CONVERTING_MY_CITIES, NONE, 00000000, Requesting Session (B)
327, 3, 4, ?, MAKE_PROMISE, ef5ea8c1, ?, Processing Action From AI to AI
327, 3, 4, -1, WARNING_STOP_CONVERTING_MY_CITIES, NONE, INITIAL, Requesting session between two AIs!
327, 5, 3, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
330, 1, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
330, 1, 5, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
330, 1, 5, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
333, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
333, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
333, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
333, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
333, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
333, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
333, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
