Turn, Event, Origin City, Destination City, Attached Resource, Origin Yields
245, Route Ended (Expired), LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_XIAN,Resource -1 (x0),Origin Yields,4.00,3.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
245, Route Ended (Expired), LOC_CITY_NAME_NAN_MADOL, LOC_CITY_NAME_POKROVKA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
246, Route Started, LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_HANDAN,Resource -1 (x0),Origin Yields,2.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
246, Route Started, LOC_CITY_NAME_NAN_MADOL, LOC_CITY_NAME_POKROVKA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
247, Route Ended (Expired), LOC_CITY_NAME_LA_VENTA, LOC_CITY_NAME_RIO_DE_JANEIRO,Resource -1 (x0),Origin Yields,0.00,0.00,9.00,1.00,1.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
248, Route Started, LOC_CITY_NAME_LA_VENTA, LOC_CITY_NAME_RIO_DE_JANEIRO,Resource -1 (x0),Origin Yields,0.00,0.00,9.00,1.00,1.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
251, Route Ended (Expired), LOC_CITY_NAME_MANAUS, LOC_CITY_NAME_RIO_DE_JANEIRO,Resource -1 (x0),Origin Yields,4.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
251, Route Ended (Expired), LOC_CITY_NAME_STOCKHOLM, LOC_CITY_NAME_SAO_PAULO,Resource -1 (x0),Origin Yields,0.00,1.00,6.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
252, Route Started, LOC_CITY_NAME_SENA, LOC_CITY_NAME_KANDY,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,0.00,0.00,2.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
252, Route Ended (Expired), LOC_CITY_NAME_BUENOS_AIRES, LOC_CITY_NAME_THEBES,Resource -1 (x0),Origin Yields,1.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
252, Route Started, LOC_CITY_NAME_MANAUS, LOC_CITY_NAME_CURITIBA,Resource -1 (x0),Origin Yields,2.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
252, Route Started, LOC_CITY_NAME_STOCKHOLM, LOC_CITY_NAME_SAO_PAULO,Resource -1 (x0),Origin Yields,0.00,1.00,6.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
253, Route Started, LOC_CITY_NAME_BUENOS_AIRES, LOC_CITY_NAME_THEBES,Resource -1 (x0),Origin Yields,1.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
254, Route Started, LOC_CITY_NAME_SEOUL, LOC_CITY_NAME_AMSTERDAM,Resource -1 (x0),Origin Yields,0.00,0.00,13.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
256, Route Ended (Expired), LOC_CITY_NAME_BRUSSELS, LOC_CITY_NAME_POKROVKA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
257, Route Started, LOC_CITY_NAME_BRUSSELS, LOC_CITY_NAME_POKROVKA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
261, Route Ended (Expired), LOC_CITY_NAME_AMSTERDAM, LOC_CITY_NAME_NAN_MADOL,Resource -1 (x0),Origin Yields,0.00,0.00,9.00,0.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
262, Route Started, LOC_CITY_NAME_AMSTERDAM, LOC_CITY_NAME_SEOUL,Resource -1 (x0),Origin Yields,0.00,0.00,9.00,2.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
