[2021-06-03 23:07:21]	,----- FRAME: 5954 time: 205.56ms Moving avg: 13.14ms 18 frames since last 
[2021-06-03 23:07:39]	, ****GameViewState Begin****
[2021-06-03 23:07:39]	,                    LuaContext::CityBannerManager, 50.27 ms
[2021-06-03 23:07:39]	,                SerialEvent::GameCoreEventPlaybackComplete, 50.35 ms
[2021-06-03 23:07:39]	,            GameViewState_UpdateGameCore, 98.38 ms
[2021-06-03 23:07:39]	,        GameViewState_Tick, 101.53 ms
[2021-06-03 23:07:39]	,    Civ6App_UpdateFrame, 104.99 ms
[2021-06-03 23:07:39]	,----- FRAME: 7023 time: 105.32ms Moving avg: 4.56ms 1070 frames since last 
[2021-06-03 23:07:43]	,                            ModelContext_updateVises, 36.14 ms
[2021-06-03 23:07:43]	,----- FRAME: 7240 time: 53.14ms Moving avg: 17.40ms 218 frames since last 
[2021-06-03 23:07:55]	,LuaContext::UnitPanel, 9.52 ms
[2021-06-03 23:07:55]	,SerialEvent::UnitSelectionChanged, 14.65 ms
[2021-06-03 23:07:55]	,----- FRAME: 7920 time: 22.49ms Moving avg: 16.19ms 681 frames since last 
[2021-06-03 23:08:19]	,SerialEvent::CitySelectionChanged, 5.19 ms
[2021-06-03 23:08:19]	,----- FRAME: 9309 time: 16.43ms Moving avg: 16.60ms 1390 frames since last 
[2021-06-03 23:08:36]	,UIManager_ProcessInput, 69.54 ms
[2021-06-03 23:08:36]	,----- FRAME: 10322 time: 9.11ms Moving avg: 16.15ms 1014 frames since last 
[2021-06-03 23:09:33]	,LuaContext::PlotInfo, 10.08 ms
[2021-06-03 23:09:33]	,SerialEvent::LensLayerOn, 10.16 ms
[2021-06-03 23:09:33]	,----- FRAME: 13758 time: 17.47ms Moving avg: 16.70ms 3437 frames since last 
[2021-06-03 23:09:41]	,LuaContext::CityPanel, 7.31 ms
[2021-06-03 23:09:41]	,SerialEvent::CitySelectionChanged, 8.32 ms
[2021-06-03 23:09:41]	,----- FRAME: 14227 time: 18.84ms Moving avg: 16.74ms 470 frames since last 
[2021-06-03 23:09:44]	,            LuaContext::TechTree, 11.62 ms
[2021-06-03 23:09:44]	,        GameCoreEvent::CityWorkerChanged, 17.80 ms
[2021-06-03 23:09:44]	,----- FRAME: 14405 time: 26.70ms Moving avg: 17.21ms 179 frames since last 
[2021-06-03 23:09:56]	,UIManager_ProcessInput, 33.47 ms
[2021-06-03 23:09:56]	,----- FRAME: 15094 time: 8.34ms Moving avg: 16.54ms 690 frames since last 
[2021-06-03 23:10:04]	,            LuaContext::PlotInfo, 5.32 ms
[2021-06-03 23:10:04]	,        SerialEvent::LensLayerOn, 5.42 ms
[2021-06-03 23:10:04]	,----- FRAME: 15577 time: 16.04ms Moving avg: 16.21ms 484 frames since last 
[2021-06-03 23:10:47]	,LuaContext::CityBannerManager, 9.49 ms
[2021-06-03 23:10:47]	,SerialEvent::GameCoreEventPlaybackComplete, 9.67 ms
[2021-06-03 23:10:47]	, WONDERMOVIE: Turn number: 227. Visible mesh count: 397
[2021-06-03 23:10:47]	,----- FRAME: 18108 time: 24.75ms Moving avg: 16.78ms 2532 frames since last 
[2021-06-03 23:10:47]	,                    LuaContext::CityBannerManager, 14.82 ms
[2021-06-03 23:10:47]	,                SerialEvent::GameCoreEventPlaybackComplete, 15.01 ms
